Time,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18
2026-06-30 15:39:27.025,44,0,6590,0,0,0,2326,0,0,0,0,0,3691,0,0,0,0,0,0,0,4980,0,0,0,1694,0,8430,130,0,0,4812,0,0,0,920,0
2026-06-30 15:39:27.027,55,0,6587,0,0,0,2324,0,0,0,0,0,3679,0,0,0,0,0,0,0,4980,0,0,0,1694,0,8430,130,0,0,4812,0,0,0,920,0
2026-06-30 15:39:27.123,43,0,6577,0,0,0,2339,0,0,0,0,0,3704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-30 15:39:27.129,43,0,6577,0,0,0,2339,0,0,0,0,0,3704,0,0,0,0,0,0,0,4997,0,0,0,1684,0,8470,147,0,0,4833,0,0,0,923,0
2026-06-30 15:39:27.227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5002,0,0,0,1632,0,8498,133,0,0,4806,0,0,0,941,0
2026-06-30 15:39:27.231,44,0,6612,0,0,0,2356,0,0,0,0,0,3746,0,0,0,0,0,0,0,5002,0,0,0,1632,0,8498,133,0,0,4806,0,0,0,941,0
2026-06-30 15:39:27.232,44,0,6612,0,0,0,2356,0,0,0,0,0,3746,0,0,0,0,0,0,0,5000,0,0,0,1606,0,8490,131,0,0,4773,0,0,0,919,0
2026-06-30 15:39:27.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5029,0,0,0,1621,0,8486,117,0,0,4743,0,0,0,880,0
2026-06-30 15:39:27.339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5031,0,0,0,1634,0,8475,114,0,0,4695,0,0,0,870,0
2026-06-30 15:39:27.439,44,0,6699,0,0,0,2361,0,0,0,0,0,3746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-30 15:39:27.445,44,0,6699,0,0,0,2361,0,0,0,0,0,3746,0,0,0,0,0,0,0,5029,0,0,0,1621,0,8483,102,0,0,4727,0,0,0,890,0
2026-06-30 15:39:27.451,33,0,6715,0,0,0,2350,0,0,0,0,0,3758,0,0,0,0,0,0,0,5029,0,0,0,1621,0,8483,102,0,0,4727,0,0,0,890,0
2026-06-30 15:39:27.547,22,0,6755,0,0,0,2345,0,0,0,0,0,3758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-30 15:39:27.560,22,0,6755,0,0,0,2345,0,0,0,0,0,3758,0,0,0,0,0,0,0,5084,0,0,0,1612,0,8537,85,0,0,4606,0,0,0,820,0
2026-06-30 15:39:27.561,1,0,6768,0,0,0,2332,0,0,0,0,0,3733,0,0,0,0,0,0,0,5094,0,0,0,1599,0,8557,69,0,0,4560,0,0,0,794,0
2026-06-30 15:39:27.658,0,0,6823,0,0,0,2307,0,0,0,0,0,3744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-30 15:39:27.664,0,0,6823,0,0,0,2307,0,0,0,0,0,3744,0,0,0,0,0,0,0,5107,0,0,0,1519,0,8569,38,0,0,4469,0,0,0,756,0
