Timestamp,IMU1_Roll,IMU1_Pitch,IMU1_Yaw,IMU1_AccX,IMU1_AccY,IMU1_AccZ,IMU1_GyroX,IMU1_GyroY,IMU1_GyroZ,IMU2_Roll,IMU2_Pitch,IMU2_Yaw,IMU2_AccX,IMU2_AccY,IMU2_AccZ,IMU2_GyroX,IMU2_GyroY,IMU2_GyroZ
1782855267.8059099,1.52,1.17,-67.47,-0.19,0.26,9.77,0.1,0.39,0.13,-0.51,-0.35,-48.12,0.05,-0.08,9.8,0.1,-0.17,-0.12
1782855267.8799076,1.52,1.16,-67.47,-0.2,0.25,9.77,0.06,0.35,0.13,-0.51,-0.35,-48.12,0.06,-0.08,9.8,0.13,-0.15,-0.15
1782855267.9542582,1.52,1.16,-67.48,-0.19,0.25,9.77,0.08,0.37,0.12,-0.51,-0.35,-48.12,0.05,-0.08,9.8,0.06,-0.21,-0.12
1782855268.0279663,1.52,1.16,-67.49,-0.19,0.26,9.77,0.09,0.37,0.13,-0.51,-0.35,-48.12,0.05,-0.08,9.8,0.09,-0.17,-0.12
1782855268.1023443,1.52,1.16,-67.49,-0.19,0.26,9.77,0.09,0.35,0.11,-0.51,-0.35,-48.13,0.06,-0.07,9.79,0.11,-0.18,-0.08
1782855268.176029,1.52,1.16,-67.5,-0.19,0.26,9.77,0.09,0.37,0.13,-0.51,-0.35,-48.13,0.05,-0.07,9.8,0.09,-0.18,-0.13
1782855268.2509391,1.52,1.16,-67.5,-0.19,0.26,9.77,0.05,0.39,0.14,-0.51,-0.35,-48.13,0.06,-0.08,9.79,0.12,-0.2,-0.12
1782855268.3239095,1.52,1.16,-67.51,-0.18,0.26,9.78,0.09,0.36,0.13,-0.51,-0.35,-48.13,0.06,-0.08,9.79,0.1,-0.16,-0.13
1782855268.3982716,1.52,1.16,-67.51,-0.19,0.26,9.77,0.07,0.36,0.12,-0.51,-0.35,-48.13,0.05,-0.08,9.79,0.11,-0.16,-0.12
1782855268.4725392,1.52,1.16,-67.52,-0.19,0.26,9.77,0.13,0.37,0.15,-0.51,-0.35,-48.13,0.05,-0.08,9.79,0.11,-0.18,-0.09
1782855268.5459187,1.52,1.16,-67.52,-0.19,0.25,9.77,0.06,0.36,0.16,-0.51,-0.35,-48.13,0.06,-0.08,9.79,0.1,-0.19,-0.12
1782855268.6209624,1.52,1.16,-67.53,-0.19,0.26,9.77,0.1,0.37,0.14,-0.51,-0.35,-48.13,0.05,-0.07,9.79,0.1,-0.2,-0.14
1782855268.6940823,1.52,1.16,-67.53,-0.19,0.26,9.77,0.09,0.38,0.13,-0.51,-0.35,-48.13,0.05,-0.08,9.79,0.08,-0.16,-0.12
1782855268.7679195,1.52,1.16,-67.54,-0.18,0.26,9.78,0.08,0.36,0.13,-0.51,-0.35,-48.14,0.05,-0.08,9.8,0.1,-0.2,-0.11
1782855268.8420017,1.52,1.16,-67.54,-0.19,0.26,9.77,0.04,0.37,0.11,-0.51,-0.35,-48.14,0.06,-0.07,9.79,0.1,-0.15,-0.12
1782855268.916336,1.52,1.16,-67.55,-0.19,0.26,9.78,0.09,0.34,0.13,-0.51,-0.35,-48.14,0.05,-0.08,9.79,0.11,-0.17,-0.11
1782855268.9908602,1.52,1.16,-67.55,-0.19,0.26,9.77,0.08,0.38,0.12,-0.51,-0.35,-48.14,0.05,-0.08,9.79,0.1,-0.18,-0.11
1782855269.0639906,1.52,1.16,-67.56,-0.2,0.26,9.77,0.06,0.36,0.12,-0.51,-0.35,-48.14,0.06,-0.07,9.8,0.09,-0.18,-0.11
1782855269.139369,1.52,1.16,-67.56,-0.19,0.26,9.78,0.09,0.35,0.13,-0.51,-0.35,-48.14,0.05,-0.08,9.79,0.09,-0.17,-0.15
1782855269.2135453,1.52,1.16,-67.57,-0.19,0.26,9.77,0.1,0.37,0.14,-0.51,-0.35,-48.14,0.06,-0.07,9.8,0.09,-0.2,-0.12
1782855269.2859182,1.52,1.16,-67.58,-0.2,0.26,9.77,0.06,0.37,0.14,-0.51,-0.35,-48.15,0.05,-0.08,9.8,0.09,-0.19,-0.14
1782855269.3614933,1.52,1.16,-67.58,-0.19,0.26,9.77,0.11,0.37,0.12,-0.51,-0.35,-48.15,0.06,-0.08,9.8,0.08,-0.17,-0.12
1782855269.4339035,1.52,1.16,-67.59,-0.19,0.26,9.77,0.06,0.38,0.13,-0.51,-0.35,-48.15,0.05,-0.08,9.8,0.07,-0.19,-0.13
1782855269.5089533,1.52,1.16,-67.59,-0.19,0.27,9.78,0.06,0.37,0.12,-0.51,-0.35,-48.15,0.05,-0.08,9.8,0.1,-0.16,-0.12
