Timestamp,Relative_Time,IMU1_Pitch,IMU2_Pitch,Difference
1782863344.0354915,8.914688110351562,88.04,87.97,0.07000000000000739
1782863344.108857,8.988053560256958,88.16,88.05,0.10999999999999943
1782863344.182931,9.062127590179443,88.17,88.04,0.12999999999999545
1782863344.2568016,9.135998249053955,88.16,88.04,0.11999999999999034
1782863344.3308256,9.210022211074829,88.13,88.02,0.10999999999999943
1782863344.4052968,9.284493446350098,88.15,88.02,0.13000000000000966
1782863344.478847,9.358043670654297,88.18,88.04,0.14000000000000057
1782863344.5527825,9.431979179382324,88.15,88.03,0.12000000000000455
1782863344.627158,9.506354570388794,88.1,88.0,0.09999999999999432
1782863344.7007852,9.579981803894043,88.05,87.97,0.0799999999999983
1782863344.7747853,9.653981924057007,87.98,87.95,0.030000000000001137
1782863344.8488896,9.728086233139038,88.0,87.96,0.04000000000000625
1782863344.9235125,9.802709102630615,88.04,87.97,0.07000000000000739
1782863344.9968107,9.876007318496704,88.07,88.01,0.05999999999998806
1782863345.0711415,9.950338125228882,88.07,87.98,0.0899999999999892
1782863345.1454391,10.024635791778564,87.84,87.63,0.21000000000000796
1782863345.2191873,10.098383903503418,83.36,82.93,0.4299999999999926
1782863345.292894,10.172090530395508,73.79,71.38,2.410000000000011
1782863345.367385,10.246581554412842,59.92,56.75,3.1700000000000017
1782863345.4417121,10.320908784866333,41.0,40.08,0.9200000000000017
1782863345.5148435,10.39404010772705,23.71,20.48,3.2300000000000004
1782863345.5888941,10.468090772628784,6.99,6.28,0.71
1782863345.661927,10.541123628616333,-1.06,-0.5,-0.56
1782863345.7358866,10.61508321762085,-0.32,-0.47,0.14999999999999997
1782863345.8103988,10.689595460891724,-0.33,-0.48,0.14999999999999997
1782863345.8838503,10.763046979904175,-0.33,-0.48,0.14999999999999997
1782863345.958132,10.837328672409058,-0.3,-0.49,0.19
1782863346.0322244,10.911421060562134,0.11,0.37,-0.26
1782863346.1069102,10.986106872558594,4.87,5.81,-0.9399999999999995
1782863346.1799726,11.059169292449951,14.16,14.31,-0.15000000000000036
1782863346.2539763,11.133172988891602,24.09,26.14,-2.0500000000000007
1782863346.3292077,11.208404302597046,38.89,39.22,-0.3299999999999983
1782863346.401852,11.28104853630066,52.15,54.2,-2.0500000000000043
1782863346.4769526,11.356149196624756,63.26,64.88,-1.6199999999999974
1782863346.5512679,11.430464506149292,73.44,73.59,-0.15000000000000568
1782863346.6255033,11.504699945449829,80.17,81.02,-0.8499999999999943
1782863346.6989393,11.578135967254639,85.03,85.06,-0.030000000000001137
1782863346.7733176,11.652514219284058,86.99,87.09,-0.10000000000000853
1782863346.8472512,11.726447820663452,87.61,87.61,0.0
1782863346.9209151,11.800111770629883,87.72,87.67,0.04999999999999716
1782863346.9948192,11.874015808105469,87.75,87.68,0.06999999999999318
1782863347.069169,11.948365688323975,87.94,87.9,0.03999999999999204
1782863347.1433086,12.022505283355713,88.08,88.08,0.0
1782863347.2177274,12.096924066543579,88.2,88.16,0.04000000000000625
1782863347.2909107,12.170107364654541,88.21,88.16,0.04999999999999716
1782863347.3648758,12.244072437286377,88.21,88.18,0.029999999999986926
